title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_seasons_aggregated,tconst,imdb_title_type,rotten_tomatoes_numeric,log_hours_viewed_2023,log_imdb_ratecount_2021
Record of Ragnarok,2021,18+,6.2,59/100,0,0,0,1,TRUE,210,179300000,11100000,FALSE,FALSE,2021-06-17,4,tt13676344,tvSeries,59,19.0045709441526,5.35185813347607
Dealer,2021,18+,6.2,48/100,0,0,0,1,TRUE,536,1800000,500000,TRUE,TRUE,2021-03-10,2,tt13702252,tvMiniSeries,48,14.4032977784218,6.28599809450887
Boys Over Flowers,2009,16+,7.9,63/100,1,0,0,2,FALSE,9623,38900000,1400000,FALSE,FALSE,,1,tt1370334,tvSeries,63,17.4765048342956,9.17201525765451
SanPa: Sins of the Savior,2020,Unknown,7.8,52/100,0,0,0,1,TRUE,1255,1100000,100000,TRUE,TRUE,2020-12-30,2,tt13731400,tvMiniSeries,52,13.9108216468591,7.13568734702814
Spycraft,2021,18+,6.7,53/100,0,0,0,1,TRUE,1387,8800000,800000,TRUE,TRUE,2021-01-20,2,tt13789092,tvSeries,53,15.9902623930848,7.23561914106675
Stretch Armstrong & the Flex Fighters,2017,7+,6.5,42/100,0,0,0,1,TRUE,265,3400000,300000,TRUE,TRUE,2017-11-17,4,tt1379164,tvSeries,42,15.039286283704,5.5834963087817
Love (ft. Marriage and Divorce),2021,7+,5.9,48/100,0,0,0,1,TRUE,162,75400000,1800000,TRUE,TRUE,2021-01-23,6,tt13814840,tvSeries,48,18.1383178462408,5.09375020080676
Crime Scene: The Vanishing at the Cecil Hotel,2021,Unknown,5.9,55/100,0,0,0,1,TRUE,14575,8800000,1100000,TRUE,TRUE,2021-02-10,2,tt13837672,tvMiniSeries,55,15.9902623930848,9.58713161949974
The Charming Stepmom,2019,Unknown,,37/100,0,0,0,1,TRUE,12,2400000,100000,TRUE,TRUE,,2,tt13846404,tvSeries,37,14.6909797119848,2.56494935746154
Buried by the Bernards,2021,16+,7.3,44/100,0,0,0,1,TRUE,301,400000,100000,TRUE,TRUE,2021-02-12,2,tt13848380,tvSeries,44,12.899222326087,5.71042701737487
Pitta Kathalu,2021,Unknown,5,46/100,0,0,0,1,TRUE,627,400000,,TRUE,TRUE,2021-02-19,1,tt13878800,tvSeries,46,12.899222326087,6.4425401664682
The One,2021,18+,6.6,61/100,0,0,0,1,TRUE,10339,6300000,500000,TRUE,TRUE,2021-03-12,2,tt13879466,tvSeries,61,15.6560603500919,9.24377514806242
Navillera,2021,Unknown,8.8,55/100,0,0,0,1,TRUE,891,12600000,600000,TRUE,TRUE,2021-03-22,2,tt13885302,tvSeries,55,16.3492074512868,6.79346613258001
Law School,2021,Unknown,8.2,58/100,0,0,0,1,TRUE,632,12900000,300000,TRUE,TRUE,2021-04-14,2,tt13885336,tvSeries,58,16.3727379468513,6.45047042214418
Canine Intervention,2021,16+,6.5,47/100,0,0,0,1,TRUE,772,4000000,400000,TRUE,TRUE,2021-02-24,2,tt13932598,tvSeries,47,15.2018051690841,6.65027904858742
Diamond City,2018,Unknown,,20/100,0,0,0,1,TRUE,9,200000,,FALSE,FALSE,,1,tt13953182,tvSeries,20,12.2060776455177,2.30258509299405
Dinotrux,2015,7+,6.9,44/100,0,0,0,1,TRUE,401,34000000,4200000,FALSE,FALSE,2015-08-14,10,tt1396212,tvSeries,44,17.3418711119922,5.99645208861902
Amend: The Fight for America,2021,18+,7.9,56/100,0,0,0,1,TRUE,15,1100000,100000,TRUE,TRUE,2021-02-17,2,tt13972246,tvMiniSeries,56,13.9108216468591,2.77258872223978
Murder Among the Mormons,2021,16+,7,60/100,0,0,0,1,TRUE,4574,3100000,500000,TRUE,TRUE,2021-03-03,2,tt13987620,tvMiniSeries,60,14.946912992036,8.42836197770962
Korean Pork Belly Rhapsody,2020,Unknown,,43/100,0,0,0,1,TRUE,19,600000,200000,TRUE,TRUE,,2,tt14017966,tvSeries,43,13.3046866008636,2.99573227355399
MINE,2021,Unknown,7.8,53/100,0,0,0,1,TRUE,157,34700000,800000,TRUE,TRUE,2021-05-08,2,tt14023192,tvSeries,53,17.3622502737355,5.06259503302697
Waffles + Mochi,2021,Unknown,7.6,47/100,0,0,0,1,TRUE,315,2300000,200000,TRUE,TRUE,2021-03-16,2,tt14035218,tvSeries,47,14.6484201156819,5.75574221358691
Marriage or Mortgage,2021,Unknown,5.2,42/100,0,0,0,1,TRUE,335,3100000,200000,TRUE,TRUE,2021-03-10,2,tt14037542,tvSeries,42,14.946912992036,5.8171111599632
