title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
Pup Academy,2019,"",6.6,44/100,0,0,0,1,TRUE,395,62300000,6600000,TRUE,TRUE,2020-02-21,2,tt10302548,tvSeries
#blackAF,2020,18+,6.8,54/100,0,0,0,1,TRUE,4079,2500000,200000,TRUE,TRUE,2020-04-17,1,tt10311562,tvSeries
Someone Has to Die,2020,"",6.3,54/100,0,0,0,1,TRUE,3777,1500000,300000,TRUE,TRUE,2020-10-16,1,tt10311932,tvMiniSeries
The Writer,2019,7+,6.6,40/100,0,0,0,1,TRUE,237,300000,,FALSE,FALSE,,1,tt10312958,tvSeries
I Hear You,2019,all,7.8,40/100,0,0,0,1,TRUE,431,11500000,400000,FALSE,FALSE,,1,tt10327440,tvSeries
Alias Grace,2017,18+,7.7,79/100,0,0,0,1,TRUE,27725,19400000,2400000,TRUE,TRUE,2017-11-03,1,tt1034007,tvMiniSeries
Miniforce X,2019,"",4.3,34/100,0,1,0,2,FALSE,9,100000,,FALSE,FALSE,,1,tt10340828,tvSeries
All For Love,2020,7+,7,47/100,0,0,0,1,TRUE,117,68200000,600000,FALSE,FALSE,2020-06-26,1,tt10347886,tvSeries
Her Mother's Killer,2020,16+,7.7,46/100,0,0,0,1,TRUE,208,54100000,700000,FALSE,FALSE,2020-08-26,1,tt10348078,tvSeries
The Queen and the Conqueror,2020,16+,6.7,52/100,0,0,0,1,TRUE,124,16400000,200000,FALSE,FALSE,2020-05-20,1,tt10348700,tvSeries
El Final del Paraíso,2019,"",5.5,51/100,0,0,0,1,TRUE,153,76400000,400000,FALSE,FALSE,,1,tt10367818,tvSeries
A Thousand Goodnights,2019,"",,36/100,0,0,0,1,TRUE,68,900000,,FALSE,FALSE,2019-05-31,1,tt10370952,tvSeries
Awake: The Million Dollar Game,2019,7+,5.9,45/100,0,0,0,1,TRUE,660,4600000,400000,TRUE,TRUE,2019-06-14,1,tt10370956,tvSeries
Exhibit A,2019,18+,6.2,44/100,0,1,0,2,FALSE,839,1800000,300000,TRUE,TRUE,2019-06-28,1,tt10376904,tvSeries
Dino Girl Gauko,2019,7+,6.7,39/100,0,0,0,1,TRUE,55,2600000,400000,TRUE,FALSE,2019-11-22,2,tt10380814,tvSeries
City of Ghosts,2021,7+,8,49/100,0,1,0,2,FALSE,159,600000,200000,TRUE,TRUE,2021-03-05,1,tt10380896,tvSeries
Scissor Seven,2018,7+,8.3,57/100,0,0,0,1,TRUE,190,20000000,5100000,TRUE,TRUE,2020-01-10,4,tt10384610,tvSeries
Next in Fashion,2020,16+,7.3,52/100,0,0,0,1,TRUE,2996,111200000,2000000,TRUE,TRUE,2020-01-29,2,tt10394770,tvSeries
In The Bosom of a Thorn,2019,16+,7.3,35/100,0,0,0,1,TRUE,35,500000,,FALSE,FALSE,,1,tt10397430,tvSeries
Designated Survivor: 60 Days,2019,"",8.1,51/100,0,0,0,1,TRUE,869,9900000,200000,TRUE,TRUE,2019-07-01,1,tt10405394,tvSeries
Rookie Historian Goo Hae-Ryung,2019,"",8.2,51/100,0,0,0,1,TRUE,1304,25100000,500000,TRUE,TRUE,2019-07-17,1,tt10406128,tvSeries
Family Business,2019,16+,7.4,56/100,0,0,0,1,TRUE,2601,11200000,1500000,TRUE,TRUE,2019-06-28,3,tt10423460,tvSeries
Scams,2019,"",6.3,40/100,0,0,0,1,TRUE,267,800000,100000,TRUE,TRUE,2019-07-02,1,tt10448486,tvMiniSeries
Unrequited Love,2019,"",7.3,40/100,0,0,0,1,TRUE,177,3100000,100000,FALSE,FALSE,2019-07-16,1,tt10449632,tvSeries
Somewhere Only We Know,2019,"",7.3,41/100,0,0,0,1,TRUE,123,3000000,100000,FALSE,FALSE,,1,tt10472296,tvSeries
Grand Army,2020,"",7.6,61/100,0,0,0,1,TRUE,4154,10800000,500000,TRUE,TRUE,2020-10-16,1,tt10473150,tvSeries
The Naked Director,2019,18+,7.7,66/100,0,0,0,1,TRUE,4470,10100000,800000,TRUE,TRUE,2019-08-08,2,tt10477528,tvSeries
Kipo and the Age of Wonderbeasts,2020,7+,8.4,70/100,0,0,0,1,TRUE,3727,19100000,2200000,TRUE,TRUE,2020-01-14,3,tt10482560,tvSeries
Capitani,2019,"",6.6,51/100,0,0,0,1,TRUE,3103,21400000,1600000,TRUE,TRUE,2021-02-11,2,tt10483610,tvSeries
Prank Encounters,2019,16+,5.2,48/100,0,0,0,1,TRUE,2411,5400000,800000,TRUE,TRUE,2019-10-25,2,tt10487072,tvSeries
The Shannara Chronicles,2016,16+,7.2,77/100,0,0,0,1,TRUE,55517,17400000,900000,FALSE,FALSE,,2,tt1051220,tvSeries
Justice,2019,7+,5.2,37/100,0,0,0,1,TRUE,62,400000,,FALSE,FALSE,,1,tt10513300,tvSeries
Love 101,2020,18+,7.5,61/100,0,0,0,1,TRUE,9910,16000000,1100000,TRUE,TRUE,2020-04-24,2,tt10516352,tvSeries
Extreme Engagement,2019,18+,5.7,38/100,0,0,0,1,TRUE,329,900000,100000,TRUE,TRUE,2019-07-12,1,tt10521644,tvSeries
Snabba Cash,2021,"",7.6,59/100,0,0,0,1,TRUE,5996,22600000,2400000,TRUE,TRUE,2021-04-07,2,tt10540276,tvSeries
The Healing Powers of Dude,2020,all,6.6,48/100,0,0,0,1,TRUE,701,9500000,1100000,TRUE,TRUE,2020-01-13,1,tt10540562,tvSeries
The Trial,2019,"",7,50/100,0,0,0,1,TRUE,2472,17800000,900000,TRUE,TRUE,2019-12-17,1,tt10549212,tvSeries
Age of Samurai: Battle for Japan,2021,"",7.4,56/100,0,0,0,1,TRUE,3004,10100000,1100000,TRUE,TRUE,2021-02-24,1,tt10551256,tvMiniSeries
The Untamed,2019,16+,9,66/100,0,0,0,1,TRUE,4374,17200000,200000,FALSE,FALSE,,1,tt10554898,tvSeries
Teenage Bounty Hunters,2020,18+,7.7,72/100,0,0,0,1,TRUE,8918,13000000,600000,TRUE,TRUE,2020-08-14,1,tt10584608,tvSeries
The Legend of Bruce Lee,2008,"",7,53/100,0,1,0,2,FALSE,1317,4400000,100000,FALSE,FALSE,,1,tt1059455,tvSeries
Levius,2019,"",7,50/100,0,0,0,1,TRUE,431,1200000,100000,TRUE,TRUE,2019-11-28,1,tt10619444,tvMiniSeries
Zero,2021,"",5.7,50/100,0,0,0,1,TRUE,940,3600000,500000,TRUE,TRUE,2021-04-21,1,tt10619486,tvSeries
The Legend of White Snake,2019,all,7.7,41/100,0,0,0,1,TRUE,163,4700000,100000,FALSE,FALSE,,1,tt10628250,tvSeries
Queen of the South,2016,16+,8,79/100,0,0,0,1,TRUE,22100,204400000,12300000,TRUE,FALSE,,5,tt1064899,tvSeries
Betaal,2020,18+,5.4,56/100,0,0,0,1,TRUE,8067,5000000,600000,TRUE,TRUE,2020-05-24,1,tt10651790,tvSeries
Masaba Masaba,2020,"",6.7,46/100,0,0,0,1,TRUE,1490,2400000,300000,TRUE,TRUE,2020-08-28,2,tt10655506,tvSeries
The Movies That Made Us,2019,18+,7.8,75/100,0,0,0,1,TRUE,2955,8400000,900000,TRUE,TRUE,2019-11-29,3,tt10681222,tvSeries
"Breakfast, Lunch & Dinner",2019,18+,6.8,51/100,0,0,0,1,TRUE,909,1100000,100000,TRUE,TRUE,2019-10-23,1,tt10681670,tvSeries
Terrace House: Tokyo 2019-2020,2019,"",7.4,47/100,0,0,0,1,TRUE,606,2900000,200000,FALSE,FALSE,2019-05-13,2,tt10686814,tvSeries
Dragons: Rescue Riders,2019,7+,6.1,45/100,0,0,0,1,TRUE,220,50100000,4500000,TRUE,TRUE,2019-09-27,2,tt10687134,tvSeries
Hello Ninja,2019,all,6.6,34/100,0,0,0,1,TRUE,88,22300000,4900000,TRUE,TRUE,2019-11-01,4,tt10687170,tvSeries
StarBeam,2020,all,6.9,47/100,0,0,0,1,TRUE,64,9300000,2400000,FALSE,FALSE,2020-04-03,4,tt10687184,tvSeries
Izzy's Koala World,2020,all,8,45/100,0,0,0,1,TRUE,151,16900000,3900000,TRUE,TRUE,2020-09-15,2,tt10687266,tvSeries
Emily's Wonder Lab,2020,all,8.6,44/100,0,0,0,1,TRUE,128,13500000,3200000,TRUE,TRUE,2020-08-25,1,tt10687464,tvSeries
Dollar,2019,18+,6.7,44/100,0,0,0,1,TRUE,537,200000,,TRUE,TRUE,2019-08-08,1,tt10687564,tvSeries
Basketball or Nothing,2019,7+,7.5,43/100,0,0,0,1,TRUE,506,600000,100000,TRUE,TRUE,2019-08-02,1,tt10698408,tvSeries
Secreto bien guardado,2019,"",4.9,36/100,0,0,0,1,TRUE,156,1500000,200000,FALSE,FALSE,,1,tt10702412,tvMiniSeries
The Family,2019,16+,6.4,59/100,0,0,0,1,TRUE,3136,4100000,500000,TRUE,TRUE,2019-08-09,1,tt10715148,tvMiniSeries
Styling Hollywood,2019,16+,7.3,35/100,0,0,0,1,TRUE,307,1000000,100000,TRUE,TRUE,2019-08-30,1,tt10715202,tvSeries
